"Hugo_Symbol","Frame_Shift_Del","Frame_Shift_Ins","In_Frame_Del","In_Frame_Ins","Missense_Mutation","Nonsense_Mutation","Nonstop_Mutation","Splice_Site","Translation_Start_Site","total","MutatedSamples","AlteredSamples"
"NPM1",0,10,0,0,1,0,0,0,0,11,11,11
"TP53",1,0,0,0,8,0,0,2,0,11,9,9
"DNMT3A",1,0,0,0,5,0,0,3,0,9,8,8
"ASXL1",2,2,0,0,1,2,0,1,0,8,8,8
"RUNX1",0,3,2,0,3,0,0,0,0,8,8,8
"TTN",0,2,0,0,7,0,0,0,0,9,7,7
"IDH2",0,0,0,0,7,0,0,0,0,7,7,7
"KRAS",0,0,0,0,7,0,0,0,0,7,7,7
"BCORL1",0,3,0,0,5,0,0,0,0,8,6,6
"FLT3",0,0,0,0,6,0,0,0,0,6,6,6
"KIT",1,0,1,1,3,0,0,0,0,6,5,5
"MUC16",0,0,0,0,6,0,0,0,0,6,5,5
"FAT2",0,0,0,0,4,0,0,0,0,4,4,4
"IDH1",0,0,0,0,4,0,0,0,0,4,4,4
"IQCN",0,0,0,0,4,0,0,0,0,4,4,4
"PAN2",0,0,0,0,3,1,0,0,0,4,4,4
"PRPF8",0,0,0,0,3,0,0,1,0,4,4,4
"DNAH7",0,1,0,0,4,0,0,0,0,5,3,3
"HIVEP3",0,0,0,0,5,0,0,0,0,5,3,3
"KMT2D",0,0,0,0,4,1,0,0,0,5,3,3
"EDC4",0,0,0,0,4,0,0,0,0,4,3,3
"EIF5B",0,1,0,0,2,1,0,0,0,4,3,3
"SETD2",0,2,0,0,2,0,0,0,0,4,3,3
"ADGRL4",1,0,0,0,2,0,0,0,0,3,3,3
"BSN",0,0,0,0,3,0,0,0,0,3,3,3
"C6orf118",0,0,0,0,3,0,0,0,0,3,3,3
"CACNA1C",0,0,0,0,3,0,0,0,0,3,3,3
"CEBPA",0,0,0,2,1,0,0,0,0,3,3,3
"DNAH11",0,0,0,0,2,1,0,0,0,3,3,3
"DOP1B",0,0,0,0,3,0,0,0,0,3,3,3
"ELF4",0,0,0,0,2,1,0,0,0,3,3,3
"FAM13A",0,0,0,0,3,0,0,0,0,3,3,3
"GOLGA1",0,0,0,0,3,0,0,0,0,3,3,3
"ITPR3",0,0,0,0,3,0,0,0,0,3,3,3
"KDM6A",1,0,0,0,2,0,0,0,0,3,3,3
"LNX1",0,0,0,0,3,0,0,0,0,3,3,3
"MAP4",0,1,0,0,2,0,0,0,0,3,3,3
"NF1",0,0,0,0,2,1,0,0,0,3,3,3
"PCLO",0,0,0,0,3,0,0,0,0,3,3,3
"PHF6",0,0,0,0,1,1,0,1,0,3,3,3
"PTPN11",0,0,0,0,3,0,0,0,0,3,3,3
"RAPGEF2",0,0,0,0,2,1,0,0,0,3,3,3
"SAXO2",0,0,0,0,3,0,0,0,0,3,3,3
"SMC1A",0,0,0,0,3,0,0,0,0,3,3,3
"SPEN",0,0,0,0,2,1,0,0,0,3,3,3
"SYTL2",0,0,0,0,3,0,0,0,0,3,3,3
"TRPV5",0,0,0,0,2,1,0,0,0,3,3,3
"UBR4",0,1,0,0,2,0,0,0,0,3,3,3
"USP6",0,0,0,0,3,0,0,0,0,3,3,3
"ZFHX4",0,1,0,0,2,0,0,0,0,3,3,3
"AHNAK2",0,0,0,0,4,0,0,0,0,4,2,2
"FAT1",0,0,0,0,3,1,0,0,0,4,2,2
"AHNAK",0,0,0,0,3,0,0,0,0,3,2,2
"ATP8B4",0,1,0,0,0,2,0,0,0,3,2,2
"BRINP3",0,0,0,0,3,0,0,0,0,3,2,2
"FAT4",0,1,0,0,2,0,0,0,0,3,2,2
"FKBP15",0,0,0,0,3,0,0,0,0,3,2,2
"GPR179",0,0,0,0,3,0,0,0,0,3,2,2
"KIAA1217",0,0,0,0,3,0,0,0,0,3,2,2
"LARP1",0,1,0,0,2,0,0,0,0,3,2,2
"LRP1",0,1,0,0,1,0,0,1,0,3,2,2
"MYH11",0,0,0,0,2,1,0,0,0,3,2,2
"MYH13",0,0,0,0,3,0,0,0,0,3,2,2
"NEB",0,0,0,0,3,0,0,0,0,3,2,2
"SYNE1",0,0,0,0,3,0,0,0,0,3,2,2
"TJAP1",0,0,0,0,3,0,0,0,0,3,2,2
"TNC",0,0,0,0,3,0,0,0,0,3,2,2
"UBA1",0,0,0,0,2,0,0,1,0,3,2,2
"VARS2",0,0,0,0,3,0,0,0,0,3,2,2
"ZBTB39",0,0,0,0,3,0,0,0,0,3,2,2
"ABCA3",0,0,0,0,1,1,0,0,0,2,2,2
"AC092143.1",0,0,0,0,2,0,0,0,0,2,2,2
"ACO1",0,0,0,0,2,0,0,0,0,2,2,2
"ACVR1B",0,0,0,0,2,0,0,0,0,2,2,2
"ADAM12",0,0,0,0,1,0,0,1,0,2,2,2
"ADGRA2",0,0,0,0,2,0,0,0,0,2,2,2
"ADGRG4",0,0,0,0,2,0,0,0,0,2,2,2
"ADSS2",0,0,0,0,1,0,0,1,0,2,2,2
"AFF1",0,0,0,0,2,0,0,0,0,2,2,2
"AK9",0,1,0,0,1,0,0,0,0,2,2,2
"AKAP12",0,0,0,0,2,0,0,0,0,2,2,2
"ALK",0,0,0,0,2,0,0,0,0,2,2,2
"AMOT",0,0,0,0,2,0,0,0,0,2,2,2
"ANK2",0,1,0,0,1,0,0,0,0,2,2,2
"ANKRD30A",0,0,0,0,2,0,0,0,0,2,2,2
"ANO3",0,0,0,0,2,0,0,0,0,2,2,2
"APBA2",0,0,0,0,2,0,0,0,0,2,2,2
"ARHGAP24",0,0,0,0,2,0,0,0,0,2,2,2
"ARHGAP32",0,0,0,0,2,0,0,0,0,2,2,2
"ARID1A",0,0,0,0,2,0,0,0,0,2,2,2
"ASB4",0,0,0,0,0,0,0,2,0,2,2,2
"ASXL2",0,2,0,0,0,0,0,0,0,2,2,2
"ASXL3",1,0,0,0,1,0,0,0,0,2,2,2
"ATP13A5",0,0,0,0,2,0,0,0,0,2,2,2
"ATP1A2",0,0,0,0,2,0,0,0,0,2,2,2
"BBS12",0,0,0,0,2,0,0,0,0,2,2,2
"BLZF1",0,0,0,0,2,0,0,0,0,2,2,2
"BRD4",0,1,0,0,1,0,0,0,0,2,2,2
"BRSK1",0,1,0,0,1,0,0,0,0,2,2,2
"C20orf194",0,0,0,0,2,0,0,0,0,2,2,2
"CACNA1B",0,0,0,0,2,0,0,0,0,2,2,2
"CACNA2D3",0,0,0,0,1,1,0,0,0,2,2,2
"CALCOCO1",0,0,0,0,2,0,0,0,0,2,2,2
"CALR",0,1,0,0,0,0,0,1,0,2,2,2
"CASR",0,0,0,0,2,0,0,0,0,2,2,2
"CASZ1",0,0,0,0,2,0,0,0,0,2,2,2
"CCDC171",0,0,0,0,2,0,0,0,0,2,2,2
"CDH23",0,0,0,0,2,0,0,0,0,2,2,2
"CELF1",0,0,0,0,2,0,0,0,0,2,2,2
"CELSR2",0,1,0,0,1,0,0,0,0,2,2,2
"CEP164",0,0,0,0,2,0,0,0,0,2,2,2
"CHD3",0,1,0,0,1,0,0,0,0,2,2,2
"CHD6",0,1,0,0,0,1,0,0,0,2,2,2
"CHMP3",0,0,0,0,2,0,0,0,0,2,2,2
"CIT",0,0,0,0,1,0,0,1,0,2,2,2
"CNTNAP5",0,0,0,0,2,0,0,0,0,2,2,2
"COG5",0,0,0,0,2,0,0,0,0,2,2,2
"COL2A1",0,0,0,0,2,0,0,0,0,2,2,2
"COL4A5",0,0,0,0,1,1,0,0,0,2,2,2
"COL5A1",0,0,0,0,2,0,0,0,0,2,2,2
